TrH2_hyp_clust10124.t1		DDE_Tnp_4/
TrH2_TrispH2_000306-RA		
TrH2_TrispH2_000307-RA	G_protein_subunit_beta_1_like	WD40/WD40/
TrH2_TrispH2_000308-RA	HscB_mitochondrial_iron_sulfur_cluster_cochaperone	HSCB_C/
TrH2_TrispH2_000309-RA	apoptosis_inducing_factor_mitochondria_associated_3	Rieske/Pyr_redox_2/Reductase_C/
TrH2_TrispH2_000310-RA	ring_finger_protein_34	zf-C3HC4_3/
TrH2_TrispH2_000311-RA	THO_complex_5	FmiP_Thoc5/
TrH2_TrispH2_000312-RA	WD_repeat_sterile_alpha_motif_and_U_box_domain_containing_1	SAM_2/RA/RA/
TrH2_TrispH2_000313-RA	intraflagellar_transport_22	Roc/
TrH2_TrispH2_000314-RA	TAO_kinase_2	Pkinase/
TrH2_TrispH2_000315-RA		
TrH2_TrispH2_000316-RA	VPS29_retromer_complex_component	Metallophos_2/
TrH2_TrispH2_000317-RA	myotubularin_related_protein_3	Myotub-related/FYVE/
TrH2_TrispH2_000318-RA	thioredoxin_related_transmembrane_protein_2	Thioredoxin/
TrH2_TrispH2_000319-RA	derlin_2	DER1/
TrH2_TrispH2_000320-RA	GLE1_RNA_export_mediator	GLE1/
TrH2_TrispH2_000321-RA	zinc_finger_CCHC_type_containing_8	PSP/
TrH2_TrispH2_000322-RA	ring_finger_protein_10	zf-C3HC4/
TrH2_TrispH2_000323-RA	CAP_Gly_domain_containing_linker_protein_2	CAP_GLY/CAP_GLY/CLIP1_ZNF/
TrH2_TrispH2_000324-RA	RNA_polymerase_II_subunit_J	RNA_pol_L_2/
TrH2_TrispH2_000325-RA	EMG1_N1_specific_pseudouridine_methyltransferase	EMG1/
TrH2_TrispH2_000326-RA		
TrH2_TrispH2_000327-RA	major_facilitator_superfamily_domain_containing_13A	MFS_2/
TrH2_TrispH2_000328-RA	trafficking_protein_particle_complex_11	Foie-gras_1/Gryzun-like/
TrH2_TrispH2_000329-RA		LRR_8/LRR_8/LRR_8/LRR_8/LRR_8/LRR_8/
TrH2_TrispH2_000330-RA	G_protein_coupled_receptor_143	Ocular_alb/
TrH2_TrispH2_000331-RA	TRAF_type_zinc_finger_domain_containing_1	
TrH2_TrispH2_000332-RA	BRCA1_interacting_protein_C_terminal_helicase_1	DEAD_2/Helicase_C_2/
TrH2_TrispH2_000333-RA	T_box_transcription_factor_2	T-box/
TrH2_TrispH2_000334-RA	T_box_transcription_factor_5	T-box/
TrH2_TrispH2_000335-RA		
TrH2_TrispH2_000336-RA		
TrH2_TrispH2_000337-RA		
TrH2_TrispH2_000338-RA	BCAS3_microtubule_associated_cell_migration_factor	BCAS3/
TrH2_TrispH2_000339-RA	transport_and_golgi_organization_2_homolog	TANGO2/
TrH2_TrispH2_000340-RA	cleavage_and_polyadenylation_specific_factor_2	Lactamase_B_6/Beta-Casp/RMMBL/CPSF100_C/
TrH2_TrispH2_000341-RA	DNA_polymerase_epsilon_catalytic_subunit	DNA_pol_B_exo1/DNA_pol_B/DUF1744/
TrH2_TrispH2_000342-RA		
TrH2_TrispH2_000343-RA	RAB4B_member_RAS_oncogene_family	Ras/
TrH2_TrispH2_000344-RA	mutL_homolog_3	HATPase_c_3/MutL_C/
TrH2_TrispH2_000345-RA	glycogen_phosphorylase_B	Phosphorylase/
TrH2_TrispH2_000346-RA	mitochondrial_ribosomal_protein_S5	Ribosomal_S5/Ribosomal_S5_C/
TrH2_TrispH2_000347-RA	cytochrome_c_oxidase_assembly_factor_COX16	COX16/
TrH2_TrispH2_000348-RA	neuronal_differentiation_1	HLH/
TrH2_TrispH2_000349-RA	actin_related_protein_10	Actin/Actin/
TrH2_TrispH2_000350-RA	CCAAT_enhancer_binding_protein_zeta	CBF/
TrH2_TrispH2_000351-RA	chromosome_16_open_reading_frame_89	DUF4735/
TrH2_TrispH2_000352-RA		
TrH2_TrispH2_000353-RA	transmembrane_p24_trafficking_protein_10	EMP24_GP25L/
TrH2_TrispH2_000354-RA	ribokinase	PfkB/
TrH2_TrispH2_000355-RA	atlastin_GTPase_1	GBP/GBP_C/
TrH2_TrispH2_000356-RA	tetratricopeptide_repeat_domain_9	TPR_9/
TrH2_TrispH2_000357-RA		CCSAP/
TrH2_TrispH2_000358-RA		
TrH2_TrispH2_000359-RA	protein_only_RNase_P_catalytic_subunit	PPR_long/PRORP/
TrH2_TrispH2_000360-RA	microtubule_associated_protein_10	DUF4497/
TrH2_TrispH2_000361-RA	mitochondrial_ribosomal_protein_L49	Img2/
TrH2_TrispH2_000362-RA	pre_mRNA_processing_factor_39	
TrH2_TrispH2_000363-RA	glycine_N_methyltransferase	Methyltransf_31/
TrH2_TrispH2_000364-RA	CXXC_repeat_containing_interactor_of_PDZ3_domain	Cript/
TrH2_TrispH2_000365-RA	FGF1_intracellular_binding_protein	FIBP/
TrH2_TrispH2_000366-RA	kinetochore_associated_1	Rod_C/
TrH2_TrispH2_000367-RA		
TrH2_TrispH2_000368-RA	pyruvate_carboxylase	Biotin_carb_N/CPSase_L_D2/Biotin_carb_C/HMGL-like/PYC_OADA/Biotin_lipoyl/
TrH2_TrispH2_000369-RA	aquarius_intron_binding_spliceosomal_factor	Aquarius_N/AAA_11/AAA_12/
TrH2_TrispH2_000370-RA	activator_of_HSP90_ATPase_activity_1	Aha1_N/AHSA1/
TrH2_TrispH2_000371-RA		COX7a/
TrH2_TrispH2_000372-RA	proteasome_26S_subunit_non_ATPase_11	RPN6_N/PCI/RPN6_C_helix/
TrH2_TrispH2_000373-RA	trafficking_protein_particle_complex_6B	TRAPP/
TrH2_TrispH2_000374-RA		
TrH2_TrispH2_000375-RA	CHURC1_FNTB_readthrough	Churchill/
TrH2_TrispH2_000376-RA	tRNA_methyltransferase_6	Gcd10p/Gcd10p/
TrH2_TrispH2_000377-RA	distal_membrane_arm_assembly_complex_2_like	
TrH2_TrispH2_000378-RA	pinin_desmosome_associated_protein	Pinin_SDK_N/Pinin_SDK_memA/
TrH2_TrispH2_000379-RA	carboxypeptidase_A4	Peptidase_M14/
TrH2_TrispH2_000380-RA	tRNA_methyltransferase_61B	GCD14/
TrH2_TrispH2_000381-RA	NRDE_2_necessary_for_RNA_interference_domain_containing	NRDE-2/
TrH2_TrispH2_000382-RA	protein_phosphatase_1_regulatory_subunit_37	LRR_6/LRR_6/LRR_6/
TrH2_TrispH2_000383-RA		
TrH2_TrispH2_000384-RA	cell_growth_regulator_with_ring_finger_domain_1	zf-C3HC4_3/
TrH2_TrispH2_000385-RA	FA_complementation_group_L	FANCL_d1/FANCL_d2/FANCL_d3/FANCL_C/
TrH2_TrispH2_000386-RA	eukaryotic_translation_initiation_factor_1A_domain_containing	eIF-1a/
TrH2_TrispH2_000387-RA	BAF_nuclear_assembly_factor_1	BAF/
TrH2_TrispH2_000388-RA	BRMS1_like_transcriptional_repressor	Sds3/
TrH2_TrispH2_000389-RA		Pyr_redox_2/
TrH2_TrispH2_000390-RA	DEAD_box_helicase_55	DEAD/Helicase_C/DUF4217/
TrH2_TrispH2_000391-RA	tyrosine_3_monooxygenase_tryptophan_5_monooxygenase_activation_protein_epsilon	14-3-3/
TrH2_TrispH2_000392-RA	gametogenetin_binding_protein_2	
TrH2_TrispH2_000393-RA	FtsJ_RNA_2_O_methyltransferase_3	FtsJ/DUF3381/Spb1_C/
TrH2_TrispH2_000394-RA	ubiquitin_specific_peptidase_30	UCH/
TrH2_TrispH2_000395-RA	protein_phosphatase_1_catalytic_subunit_alpha	STPPase_N/Metallophos/
TrH2_TrispH2_000396-RA	PRKR_interacting_protein_1	DUF1168/
TrH2_TrispH2_000397-RA	INO80_complex_subunit_E	
TrH2_TrispH2_000398-RA	serum_response_factor	SRF-TF/
TrH2_TrispH2_000399-RA	serum_response_factor	SRF-TF/
TrH2_TrispH2_000400-RA	synoviolin_1	zf-RING_2/
TrH2_TrispH2_000401-RA	transmembrane_protein_120B	TMPIT/
TrH2_TrispH2_000402-RA	F_box_protein_2	Malectin/FBA/
TrH2_TrispH2_000403-RA	spectrin_alpha_non_erythrocytic_1	Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/SH3_9/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/EF-hand_7/EFhand_Ca_insen/
TrH2_TrispH2_000404-RA	purinergic_receptor_P2X_4	P2X_receptor/
TrH2_TrispH2_000405-RA	hydroxyacyl_CoA_dehydrogenase_trifunctional_multienzyme_complex_subunit_alpha	3HCDH_N/zf-C3HC4_3/
TrH2_TrispH2_000406-RA	solute_carrier_family_25_member_29	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_000407-RA	3_2_5_bisphosphate_nucleotidase_1	Inositol_P/
TrH2_TrispH2_000408-RA	SCY1_like_pseudokinase_1	Pkinase/
TrH2_TrispH2_000409-RA	selenoprotein_W	
TrH2_TrispH2_000410-RA	SDE2_telomere_maintenance_homolog	Sde2_N_Ubi/
TrH2_TrispH2_000411-RA		
TrH2_TrispH2_000412-RA		CCDC32/
TrH2_TrispH2_000413-RA	abhydrolase_domain_containing_12_lysophospholipase	Hydrolase_4/
TrH2_TrispH2_000414-RA	GINS_complex_subunit_1	Sld5/
TrH2_TrispH2_000415-RA	protein_O_mannosyltransferase_2	PMT/MIR/PMT_4TMC/
TrH2_TrispH2_000416-RA	serine_palmitoyltransferase_long_chain_base_subunit_2	Aminotran_1_2/
TrH2_TrispH2_000417-RA	neuroglobin	Globin/
TrH2_TrispH2_000418-RA	aldo_keto_reductase_family_1_member_A1	Aldo_ket_red/
TrH2_TrispH2_000419-RA	protein_phosphatase_1_regulatory_subunit_36	PPPI_inhib/
TrH2_TrispH2_000420-RA	asparaginase	Asparaginase/Asparaginase_C/Ank_2/Ank_5/
TrH2_TrispH2_000421-RA	protein_kinase_D3	C1_1/Pkinase/
TrH2_TrispH2_000422-RA	delta_like_canonical_Notch_ligand_1	MNNL/DSL/EGF/EGF/EGF/EGF/EGF/hEGF/hEGF/hEGF/
TrH2_TrispH2_000423-RA	protein_kinase_C_epsilon	C1_1/Pkinase_C/
TrH2_TrispH2_000424-RA	protein_kinase_C_eta	
TrH2_TrispH2_000425-RA		Mitoc_mL59/
TrH2_TrispH2_000426-RA	WD_repeat_domain_92	WD40/
TrH2_TrispH2_000427-RA	CDAN1_interacting_nuclease_1	TPD/
TrH2_TrispH2_000429-RA	Meis_homeobox_1	Meis_PKNOX_N/Homeobox_KN/
TrH2_TrispH2_000430-RA	WD_repeat_domain_64	WD40/WD40/
TrH2_TrispH2_000431-RA		Aminotran_5/ATP_bind_3/
TrH2_TrispH2_000432-RA	glyoxylate_and_hydroxypyruvate_reductase	2-Hacid_dh/2-Hacid_dh_C/
TrH2_TrispH2_000433-RA	LIM_homeobox_5	LIM/
TrH2_TrispH2_000434-RA	LIM_homeobox_5	LIM/
TrH2_TrispH2_000435-RA	LIM_homeobox_1	Homeodomain/
TrH2_TrispH2_000436-RA	codanin_1	Codanin-1_C/
TrH2_TrispH2_000437-RA	transmembrane_7_superfamily_member_3	DUF4203/
TrH2_TrispH2_000438-RA	myosin_VIIA	Myosin_head/Myosin_head/IQ/MyTH4/FERM_M/MyTH4/FERM_M/
TrH2_TrispH2_000439-RA	poly_A_polymerase_gamma	PAP_central/NTP_transf_2/PAP_RNA-bind/PAP_RNA-bind/
TrH2_TrispH2_000440-RA	Ras_and_Rab_interactor_2	SH2/VPS9/
TrH2_TrispH2_000441-RA	apoptosis_resistant_E3_ubiquitin_protein_ligase_1	Filamin/HECT/
TrH2_TrispH2_000442-RA	SprT_like_N_terminal_domain	SprT-like/
TrH2_TrispH2_000443-RA	hydroxyacid_oxidase_1	FMN_dh/
TrH2_TrispH2_000444-RA	transmembrane_protein_62	Metallophos/
TrH2_TrispH2_000445-RA		HMG_box_2/
TrH2_TrispH2_000446-RA	RB_transcriptional_corepressor_like_1	DUF3452/RB_A/RB_B/
TrH2_TrispH2_000447-RA	protein_O_linked_mannose_N_acetylglucosaminyltransferase_2_beta_1_4	DUF563/
TrH2_TrispH2_000448-RA	AFG3_like_matrix_AAA_peptidase_subunit_2	FtsH_ext/AAA/AAA_lid_3/Peptidase_M41/
TrH2_TrispH2_000449-RA	protein_arginine_methyltransferase_5	PRMT5_TIM/PRMT5/PRMT5_C/
TrH2_TrispH2_000450-RA	mitochondrial_ribosomal_protein_L16	Ribosomal_L16/
TrH2_TrispH2_000451-RA	NOP9_nucleolar_protein	PUF/PUF/PUF/
TrH2_TrispH2_000452-RA	proteasome_20S_subunit_alpha_7	Proteasome_A_N/Proteasome/
TrH2_TrispH2_000453-RA	nuclear_transport_factor_2	NTF2/
TrH2_TrispH2_000454-RA	LSM_family_member_14B	LSM14/FDF/
TrH2_TrispH2_000455-RA	SS18_like_2	SSXT/
TrH2_TrispH2_000456-RA	TATA_box_binding_protein_associated_factor_4b	TAFH/TAF4/
TrH2_TrispH2_000457-RA	ring_finger_and_SPRY_domain_containing_1	SPRY/zf-C3HC4_3/
TrH2_TrispH2_000458-RA	TBC1_domain_family_member_32	BROMI/
TrH2_TrispH2_000459-RA	DNA_topoisomerase_I	Topoisom_I_N/Topoisom_I/Topo_C_assoc/
TrH2_TrispH2_000460-RA		
TrH2_TrispH2_000461-RA		
TrH2_TrispH2_000462-RA		
TrH2_TrispH2_000463-RA		
TrH2_TrispH2_000464-RA		
TrH2_TrispH2_000465-RA	SRC_proto_oncogene_non_receptor_tyrosine_kinase	SH3_1/
TrH2_TrispH2_000466-RA	fyn_related_Src_family_tyrosine_kinase	SH3_1/SH2/Pkinase_Tyr/
TrH2_TrispH2_000467-RA	fyn_related_Src_family_tyrosine_kinase	SH3_1/SH2/Pkinase_Tyr/
TrH2_TrispH2_000468-RA	coiled_coil_domain_containing_178	
TrH2_TrispH2_000469-RA	chromosome_8_open_reading_frame_74	CLAMP/
TrH2_TrispH2_000470-RA		
TrH2_TrispH2_000471-RA	nucleolar_protein_10	WD40/NUC153/
TrH2_TrispH2_000472-RA	general_transcription_factor_IIIC_subunit_3	TPR_16/TPR_8/
TrH2_TrispH2_000473-RA	sphingomyelin_phosphodiesterase_acid_like_3A	Metallophos/Metallophos/
TrH2_TrispH2_000474-RA		
TrH2_TrispH2_000475-RA	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
TrH2_TrispH2_000476-RA	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
TrH2_TrispH2_000477-RA	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
TrH2_TrispH2_000478-RA	mutS_homolog_5	MutS_IV/MutS_V/
TrH2_TrispH2_000479-RA	thiosulfate_sulfurtransferase_like_domain_containing_1	Rhodanese/
TrH2_TrispH2_000480-RA	eukaryotic_translation_initiation_factor_2B_subunit_gamma	NTP_transferase/Hexapep/
TrH2_TrispH2_000481-RA	endoplasmic_reticulum_metallopeptidase_1	Peptidase_M28/
TrH2_TrispH2_000482-RA	trafficking_protein_particle_complex_5	TRAPP/
TrH2_TrispH2_000483-RA		
TrH2_TrispH2_000484-RA	ketohexokinase	PfkB/
TrH2_TrispH2_000485-RA	RPTOR_independent_companion_of_MTOR_complex_2	RICTOR_N/RICTOR_M/RasGEF_N_2/RICTOR_V/
TrH2_TrispH2_000486-RA	cell_division_cycle_20	ANAPC4_WD40/WD40/WD40/WD40/
TrH2_TrispH2_000487-RA	N_acetyltransferase_8_putative	Acetyltransf_1/
TrH2_TrispH2_000488-RA		Glycos_transf_2/
TrH2_TrispH2_000489-RA	histone_PARylation_factor_1	DUF2228/
TrH2_TrispH2_000490-RA	vesicle_associated_membrane_protein_3	Synaptobrevin/
TrH2_TrispH2_000491-RA	LDL_receptor_related_protein_1B	Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/cEGF/Ldl_recept_b/Ldl_recept_b/Ldl_recept_b/
TrH2_TrispH2_000492-RA	LDL_receptor_related_protein_8	Ldl_recept_a/
TrH2_TrispH2_000493-RA	cell_division_cycle_14A	DSPn/DSPn/DSPc/
TrH2_TrispH2_000494-RA	peroxiredoxin_like_2C	AhpC-TSA_2/
TrH2_TrispH2_000495-RA	peroxiredoxin_like_2C	AhpC-TSA_2/
TrH2_TrispH2_000496-RA	synapse_defective_Rho_GTPase_homolog_2	PDZ/RhoGAP/
TrH2_TrispH2_000497-RA	BTB_domain_containing_19	BTB/BACK/
TrH2_TrispH2_000498-RA	aminopeptidase_O_putative	Peptidase_M1_N/Peptidase_M1/Leuk-A4-hydro_C/
TrH2_TrispH2_000499-RA	uroporphyrinogen_decarboxylase	URO-D/
TrH2_TrispH2_000500-RA		
TrH2_TrispH2_000501-RA	ATP_synthase_F1_subunit_delta	ATP-synt_DE_N/
TrH2_TrispH2_000502-RA	centromere_protein_C	CENP-C_C/
TrH2_TrispH2_000503-RA	uroporphyrinogen_decarboxylase	URO-D/
TrH2_TrispH2_000504-RA	H2B_clustered_histone_13	Histone/
TrH2_TrispH2_000505-RA	midnolin	
TrH2_TrispH2_000506-RA	NIM1_serine_threonine_protein_kinase	Pkinase/
TrH2_TrispH2_000507-RA	RNA_polymerase_I_subunit_A	RNA_pol_Rpb1_1/RNA_pol_Rpb1_2/RNA_pol_Rpb1_3/RNA_pol_Rpb1_4/RNA_pol_Rpb1_5/
TrH2_TrispH2_000508-RA		Sel1/Sel1/Sel1/Sel1/
TrH2_TrispH2_000509-RA	Tctex1_domain_containing_1	Tctex-1/
TrH2_TrispH2_000510-RA	Tctex1_domain_containing_2	Tctex-1/
TrH2_TrispH2_000511-RA		
TrH2_TrispH2_000512-RA	lysine_acetyltransferase_6A	PHD/SAM_1/
TrH2_TrispH2_000513-RA	glutathione_S_transferase_theta_1	GST_N/GST_C/
TrH2_TrispH2_000514-RA	mitochondrial_ribosome_associated_GTPase_1	MMR_HSR1/
TrH2_TrispH2_000515-RA	kinesin_family_member_2A	Kinesin/
TrH2_TrispH2_000516-RA	sulfatase_modifying_factor_1	FGE-sulfatase/Methyltransf_23/
TrH2_TrispH2_000517-RA	glutamate_metabotropic_receptor_3	ANF_receptor/NCD3G/7tm_3/
TrH2_TrispH2_000518-RA		FGE-sulfatase/
TrH2_TrispH2_000519-RA	RAD23_homolog_B_nucleotide_excision_repair_protein	ubiquitin/UBA/XPC-binding/UBA/
TrH2_TrispH2_000520-RA	RIC1_homolog_RAB6A_GEF_complex_partner_1	RIC1/
TrH2_TrispH2_000521-RA	DOT1_like_histone_lysine_methyltransferase	DOT1/
TrH2_TrispH2_000522-RA	nuclear_factor_I_B	
TrH2_TrispH2_000523-RA	actinin_alpha_1	CH/CH/
TrH2_TrispH2_000524-RA		DHHC/
TrH2_TrispH2_000525-RA	forkhead_box_I2	Forkhead/
TrH2_TrispH2_000526-RA	iron_sulfur_cluster_assembly_1	Fe-S_biosyn/
TrH2_TrispH2_000527-RA	phospholipid_phosphatase_1	PAP2/
TrH2_TrispH2_000528-RA	PET100_cytochrome_c_oxidase_chaperone	Pet100/
TrH2_TrispH2_000529-RA	Fas_associated_via_death_domain	CARD/Death/
TrH2_TrispH2_000530-RA	t_SNARE_domain_containing_1	Syntaxin_2/SNARE/
TrH2_TrispH2_000531-RA	ATPase_H_transporting_V0_subunit_b	ATP-synt_C/ATP-synt_C/
TrH2_TrispH2_000532-RA	transmembrane_protein_104	Aa_trans/
TrH2_TrispH2_000533-RA	transmembrane_protein_104	
TrH2_TrispH2_000534-RA	coactivator_associated_arginine_methyltransferase_1	PrmA/
TrH2_TrispH2_000535-RA	NKAP_domain_containing_1	NKAP/
TrH2_TrispH2_000536-RA	thioredoxin_reductase_3	Glutaredoxin/DEP/DUF547/
TrH2_TrispH2_000537-RA		
TrH2_TrispH2_000538-RA	small_ArfGAP_1	ArfGap/
TrH2_TrispH2_000539-RA	LTV1_ribosome_biogenesis_factor	LTV/LTV/
TrH2_TrispH2_000540-RA	solute_carrier_family_2_member_12	Sugar_tr/
TrH2_TrispH2_000541-RA	regulating_synaptic_membrane_exocytosis_2	FYVE_2/C2/C2/
TrH2_TrispH2_000542-RA		
TrH2_TrispH2_000543-RA	XK_related_6	XK-related/
TrH2_TrispH2_000544-RA	MOS_proto_oncogene_serine_threonine_kinase	Pkinase/
TrH2_TrispH2_000545-RA	phosphatidylinositol_3_4_5_trisphosphate_dependent_Rac_exchange_factor_1	RhoGEF/PH/DEP/DEP/
TrH2_TrispH2_000546-RA	otoferlin	C2/C2/FerI/C2/C2/C2/C2/Ferlin_C/
TrH2_TrispH2_000547-RA	radial_spoke_head_10_homolog_B2	MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/
TrH2_TrispH2_000548-RA	peroxidasin	I-set/An_peroxidase/
TrH2_TrispH2_000549-RA	peroxidasin_like	
TrH2_TrispH2_000550-RA	NADH_ubiquinone_oxidoreductase_subunit_S5	Ndufs5/
TrH2_TrispH2_000551-RA	hydroxyacyl_CoA_dehydrogenase_trifunctional_multienzyme_complex_subunit_alpha	ECH_1/3HCDH_N/3HCDH/
TrH2_TrispH2_000552-RA	HECT_domain_E3_ubiquitin_protein_ligase_1	Ank_4/Ank_2/Ank_4/Ank_2/
TrH2_TrispH2_000553-RA	transmembrane_protein_65	TMEM65/
TrH2_TrispH2_000554-RA		
TrH2_TrispH2_000555-RA	histidine_triad_nucleotide_binding_protein_3	DcpS_C/
TrH2_TrispH2_000556-RA	EARP_complex_and_GARP_complex_interacting_protein_1	WD40/WD40/
TrH2_TrispH2_000557-RA	sterile_alpha_and_TIR_motif_containing_1	SAM_2/TIR_2/
TrH2_TrispH2_000558-RA	replication_termination_factor_2	Rtf2/
TrH2_TrispH2_000559-RA	NME_NM23_nucleoside_diphosphate_kinase_6	NDK/
TrH2_TrispH2_000560-RA	reactive_intermediate_imine_deaminase_A_homolog	Ribonuc_L-PSP/
TrH2_TrispH2_000561-RA	acyl_CoA_synthetase_short_chain_family_member_2	ACAS_N/AMP-binding/AMP-binding_C/
TrH2_TrispH2_000562-RA	ATPase_family_AAA_domain_containing_2B	AAA/AAA_lid_3/Bromodomain/
TrH2_TrispH2_000563-RA	phosphodiesterase_10A	GAF/PDEase_I/
TrH2_TrispH2_000564-RA	EYA_transcriptional_coactivator_and_phosphatase_4	
TrH2_TrispH2_000565-RA	RAB10_member_RAS_oncogene_family	Ras/
TrH2_TrispH2_000566-RA	ciliogenesis_associated_kinase_1	Pkinase/
TrH2_TrispH2_000567-RA	L3MBTL_histone_methyl_lysine_binding_protein_4	MBT/MBT/MBT/SAM_1/
TrH2_TrispH2_000568-RA	NIMA_related_kinase_7	Pkinase/
TrH2_TrispH2_000569-RA		
TrH2_TrispH2_000570-RA	ribosomal_protein_S7	Ribosomal_S7e/
TrH2_TrispH2_000571-RA	adhesion_G_protein_coupled_receptor_D1	GPS/7tm_2/
TrH2_TrispH2_000572-RA	adhesion_G_protein_coupled_receptor_D1	Lectin_C/GPS/7tm_2/
TrH2_TrispH2_000573-RA	histocompatibility_minor_13	Peptidase_A22B/
TrH2_TrispH2_000574-RA	ADP_ribosylation_factor_related_protein_1	Arf/
TrH2_TrispH2_000575-RA	regulator_of_G_protein_signaling_22	RGS/RGS/
TrH2_TrispH2_000576-RA	trimethylguanosine_synthase_1	Methyltransf_15/
TrH2_TrispH2_000577-RA	transmembrane_protein_14C	Tmemb_14/
TrH2_TrispH2_000578-RA	protein_phosphatase_1_regulatory_subunit_8	FHA/
TrH2_TrispH2_000579-RA	DEAD_box_helicase_24	DEAD/Helicase_C/
TrH2_TrispH2_000580-RA	PAK1_interacting_protein_1	WD40/WD40/
TrH2_TrispH2_000581-RA	regulator_of_telomere_elongation_helicase_1	DEAD_2/Helicase_C_2/
TrH2_TrispH2_000582-RA	family_with_sequence_similarity_135_member_A	DUF3657/DUF676/
TrH2_TrispH2_000583-RA	Abelson_helper_integration_site_1	WD40/SH3_1/
TrH2_TrispH2_000584-RA	FAT_atypical_cadherin_3	Cadherin/Cadherin/Cadherin/Cadherin/
TrH2_TrispH2_000585-RA	oxidative_stress_responsive_serine_rich_1	
TrH2_TrispH2_000586-RA	regulator_of_chromosome_condensation_1	RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/
TrH2_TrispH2_000587-RA	ADP_ribosylation_factor_guanine_nucleotide_exchange_factor_1	DCB/Sec7_N/Sec7/DUF1981/
TrH2_TrispH2_000588-RA		
TrH2_TrispH2_000589-RA		
TrH2_TrispH2_000590-RA	ribosomal_protein_S12	Ribosomal_L7Ae/
TrH2_TrispH2_000591-RA	DNA_replication_helicase_nuclease_2	Dna2/AAA_11/AAA_12/
TrH2_TrispH2_000592-RA		
TrH2_TrispH2_000593-RA	thioredoxin_domain_containing_15	Thioredoxin/
TrH2_TrispH2_000594-RA	thyroid_hormone_receptor_interactor_4	zf-C2HC5/ASCH/
TrH2_TrispH2_000595-RA	eukaryotic_translation_elongation_factor_1_epsilon_1	
TrH2_TrispH2_000596-RA	Jun_proto_oncogene_AP_1_transcription_factor_subunit	Jun/bZIP_1/
TrH2_TrispH2_000597-RA	heat_shock_protein_family_B_small_member_11	F5_F8_type_C/
TrH2_TrispH2_000598-RA	ubiquitin_specific_peptidase_24	UCH/DUF3517/
TrH2_TrispH2_000599-RA	sperm_flagellar_2	CH_2/ADK/
TrH2_TrispH2_000600-RA	eukaryotic_translation_initiation_factor_2B_subunit_beta	IF-2B/
TrH2_TrispH2_000601-RA	prolyl_tRNA_synthetase_2_mitochondrial	tRNA-synt_2b/HGTP_anticodon/
TrH2_TrispH2_000602-RA	DDB1_and_CUL4_associated_factor_15	DCAF15_WD40/
TrH2_TrispH2_000603-RA	kynureninase	Aminotran_5/
TrH2_TrispH2_000604-RA	kynureninase	Aminotran_5/
TrH2_TrispH2_000605-RA	acid_sensing_ion_channel_subunit_2	ASC/
TrH2_TrispH2_000606-RA	acid_sensing_ion_channel_subunit_1	ASC/
TrH2_TrispH2_000607-RA	elongation_factor_1_homolog	Elf1/
TrH2_TrispH2_000608-RA	WD_repeat_domain_18	WD40/WD40/
TrH2_TrispH2_000609-RA	acid_sensing_ion_channel_subunit_2	ASC/
TrH2_TrispH2_000610-RA	acid_sensing_ion_channel_subunit_1	ASC/
TrH2_TrispH2_000611-RA	acid_sensing_ion_channel_subunit_family_member_5	ASC/
TrH2_TrispH2_000612-RA		TPR_12/
TrH2_TrispH2_000613-RA	acid_sensing_ion_channel_subunit_family_member_5	ASC/
TrH2_TrispH2_000614-RA		TPR_12/TPR_12/
TrH2_TrispH2_000615-RA		TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_10/TPR_12/TPR_7/TPR_12/TPR_12/TPR_10/TPR_12/TPR_12/
TrH2_TrispH2_000616-RA	ERCC_excision_repair_4_endonuclease_catalytic_subunit	ERCC4/
TrH2_TrispH2_000617-RA	serine_carboxypeptidase_1	Peptidase_S10/
TrH2_TrispH2_000618-RA	serine_carboxypeptidase_1	Peptidase_S10/
TrH2_TrispH2_000619-RA	SSX_family_member_2_interacting_protein	ADIP/
TrH2_TrispH2_000620-RA	serine_carboxypeptidase_1	Peptidase_S10/
TrH2_TrispH2_000621-RA	dihydrolipoamide_branched_chain_transacylase_E2	Biotin_lipoyl/E3_binding/2-oxoacid_dh/
TrH2_TrispH2_000622-RA	CWC27_spliceosome_associated_cyclophilin	Pro_isomerase/
TrH2_TrispH2_000623-RA		Tim17/
TrH2_TrispH2_000624-RA		
TrH2_TrispH2_000625-RA		Peptidase_S9/
TrH2_TrispH2_000626-RA	origin_recognition_complex_subunit_1	AAA/AAA_lid_10/Cdc6_C/
